Date,Bitcoin_pop_score
2015-01-04,63
2015-01-11,64
2015-01-18,61
2015-01-25,63
2015-02-01,51
2015-02-08,58
2015-02-15,59
2015-02-22,52
2015-03-01,57
2015-03-08,57
2015-03-15,60
2015-03-22,50
2015-03-29,53
2015-04-05,51
2015-04-12,47
2015-04-19,48
2015-04-26,47
2015-05-03,44
2015-05-10,48
2015-05-17,48
2015-05-24,48
2015-05-31,48
2015-06-07,44
2015-06-14,55
2015-06-21,45
2015-06-28,58
2015-07-05,66
2015-07-12,63
2015-07-19,56
2015-07-26,70
2015-08-02,62
2015-08-09,58
2015-08-16,58
2015-08-23,56
2015-08-30,53
2015-09-06,63
2015-09-13,57
2015-09-20,58
2015-09-27,51
2015-10-04,53
2015-10-11,49
2015-10-18,55
2015-10-25,66
2015-11-01,100
2015-11-08,67
2015-11-15,60
2015-11-22,58
2015-11-29,58
2015-12-06,85
2015-12-13,69
2015-12-20,65
2015-12-27,65
2016-01-03,56
2016-01-10,60
2016-01-17,66
2016-01-24,53
2016-01-31,50
2016-02-07,55
2016-02-14,61
2016-02-21,57
2016-02-28,56
2016-03-06,53
2016-03-13,53
2016-03-20,51
2016-03-27,54
2016-04-03,53
2016-04-10,55
2016-04-17,52
2016-04-24,59
2016-05-01,82
2016-05-08,60
2016-05-15,58
2016-05-22,57
2016-05-29,72
2016-06-05,69
2016-06-12,99
2016-06-19,98
2016-06-26,85
2016-07-03,78
2016-07-10,71
2016-07-17,59
2016-07-24,61
2016-07-31,78
2016-08-07,72
2016-08-14,65
2016-08-21,67
2016-08-28,64
2016-09-04,68
2016-09-11,66
2016-09-18,65
2016-09-25,59
2016-10-02,59
2016-10-09,62
2016-10-16,61
2016-10-23,69
2016-10-30,75
2016-11-06,73
2016-11-13,72
2016-11-20,70
2016-11-27,72
2016-12-04,74
2016-12-11,74
2016-12-18,89
2016-12-25,100
2017-01-01,8
2017-01-08,6
2017-01-15,5
2017-01-22,5
2017-01-29,5
2017-02-05,5
2017-02-12,5
2017-02-19,6
2017-02-26,7
2017-03-05,7
2017-03-12,7
2017-03-19,6
2017-03-26,6
2017-04-02,6
2017-04-09,5
2017-04-16,6
2017-04-23,6
2017-04-30,8
2017-05-07,11
2017-05-14,12
2017-05-21,21
2017-05-28,14
2017-06-04,14
2017-06-11,15
2017-06-18,13
2017-06-25,13
2017-07-02,11
2017-07-09,11
2017-07-16,13
2017-07-23,12
2017-07-30,16
2017-08-06,16
2017-08-13,22
2017-08-20,17
2017-08-27,19
2017-09-03,20
2017-09-10,24
2017-09-17,17
2017-09-24,14
2017-10-01,14
2017-10-08,20
2017-10-15,21
2017-10-22,24
2017-10-29,29
2017-11-05,31
2017-11-12,32
2017-11-19,24
2017-11-26,50
2017-12-03,90
2017-12-10,88
2017-12-17,100
2017-12-24,68
2017-12-31,52
2018-01-07,80
2018-01-14,100
2018-01-21,66
2018-01-28,71
2018-02-04,82
2018-02-11,48
2018-02-18,43
2018-02-25,36
2018-03-04,34
2018-03-11,35
2018-03-18,31
2018-03-25,32
2018-04-01,32
2018-04-08,28
2018-04-15,26
2018-04-22,27
2018-04-29,23
2018-05-06,23
2018-05-13,20
2018-05-20,21
2018-05-27,19
2018-06-03,18
2018-06-10,23
2018-06-17,19
2018-06-24,19
2018-07-01,17
2018-07-08,17
2018-07-15,20
2018-07-22,21
2018-07-29,19
2018-08-05,20
2018-08-12,21
2018-08-19,18
2018-08-26,18
2018-09-02,21
2018-09-09,19
2018-09-16,17
2018-09-23,17
2018-09-30,15
2018-10-07,16
2018-10-14,15
2018-10-21,14
2018-10-28,14
2018-11-04,14
2018-11-11,18
2018-11-18,24
2018-11-25,25
2018-12-02,21
2018-12-09,20
2018-12-16,22
2018-12-23,18
2018-12-30,16
2019-01-06,9
2019-01-13,8
2019-01-20,8
2019-01-27,7
2019-02-03,8
2019-02-10,7
2019-02-17,9
2019-02-24,8
2019-03-03,7
2019-03-10,7
2019-03-17,7
2019-03-24,7
2019-03-31,12
2019-04-07,10
2019-04-14,9
2019-04-21,9
2019-04-28,9
2019-05-05,12
2019-05-12,19
2019-05-19,14
2019-05-26,15
2019-06-02,13
2019-06-09,11
2019-06-16,17
2019-06-23,27
2019-06-30,19
2019-07-07,17
2019-07-14,17
2019-07-21,13
2019-07-28,13
2019-08-04,15
2019-08-11,13
2019-08-18,12
2019-08-25,38
2019-09-01,100
2019-09-08,56
2019-09-15,52
2019-09-22,33
2019-09-29,10
2019-10-06,9
2019-10-13,9
2019-10-20,11
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,10
2019-11-24,11
2019-12-01,9
2019-12-08,8
2019-12-15,10
2019-12-22,8
2019-12-29,9
2020-01-05,28
2020-01-12,28
2020-01-19,25
2020-01-26,28
2020-02-02,28
2020-02-09,33
2020-02-16,29
2020-02-23,29
2020-03-01,26
2020-03-08,49
2020-03-15,47
2020-03-22,37
2020-03-29,33
2020-04-05,33
2020-04-12,31
2020-04-19,29
2020-04-26,39
2020-05-03,46
2020-05-10,53
2020-05-17,37
2020-05-24,33
2020-05-31,32
2020-06-07,30
2020-06-14,28
2020-06-21,26
2020-06-28,26
2020-07-05,23
2020-07-12,30
2020-07-19,26
2020-07-26,43
2020-08-02,39
2020-08-09,35
2020-08-16,34
2020-08-23,29
2020-08-30,32
2020-09-06,29
2020-09-13,27
2020-09-20,25
2020-09-27,23
2020-10-04,24
2020-10-11,24
2020-10-18,33
2020-10-25,36
2020-11-01,39
2020-11-08,39
2020-11-15,56
2020-11-22,58
2020-11-29,54
2020-12-06,42
2020-12-13,70
2020-12-20,71
2020-12-27,100
2021-01-03,83
2021-01-10,82
2021-01-17,52
2021-01-24,50
2021-01-31,45
2021-02-07,75
2021-02-14,72
2021-02-21,86
2021-02-28,54
2021-03-07,51
2021-03-14,52
2021-03-21,48
2021-03-28,47
2021-04-04,43
2021-04-11,53
2021-04-18,71
2021-04-25,51
2021-05-02,43
2021-05-09,59
2021-05-16,100
2021-05-23,75
2021-05-30,51
2021-06-06,54
2021-06-13,42
2021-06-20,50
2021-06-27,37
2021-07-04,31
2021-07-11,29
2021-07-18,33
2021-07-25,40
2021-08-01,33
2021-08-08,36
2021-08-15,33
2021-08-22,34
2021-08-29,29
2021-09-05,39
2021-09-12,29
2021-09-19,35
2021-09-26,30
2021-10-03,36
2021-10-10,39
2021-10-17,49
2021-10-24,37
2021-10-31,32
2021-11-07,39
2021-11-14,39
2021-11-21,36
2021-11-28,38
2021-12-05,43
2021-12-12,36
2021-12-19,34
2021-12-26,32
2022-01-02,62
2022-01-09,59
2022-01-16,63
2022-01-23,78
2022-01-30,60
2022-02-06,57
2022-02-13,48
2022-02-20,64
2022-02-27,58
2022-03-06,51
2022-03-13,45
2022-03-20,42
2022-03-27,47
2022-04-03,40
2022-04-10,40
2022-04-17,35
2022-04-24,36
2022-05-01,39
2022-05-08,85
2022-05-15,55
2022-05-22,45
2022-05-29,41
2022-06-05,38
2022-06-12,100
2022-06-19,78
2022-06-26,58
2022-07-03,53
2022-07-10,47
2022-07-17,49
2022-07-24,43
2022-07-31,39
2022-08-07,37
2022-08-14,36
2022-08-21,35
2022-08-28,33
2022-09-04,35
2022-09-11,36
2022-09-18,37
2022-09-25,32
2022-10-02,29
2022-10-09,28
2022-10-16,26
2022-10-23,28
2022-10-30,29
2022-11-06,51
2022-11-13,49
2022-11-20,36
2022-11-27,32
2022-12-04,29
2022-12-11,32
2022-12-18,29
2022-12-25,28
2023-01-01,54
2023-01-08,71
2023-01-15,79
2023-01-22,69
2023-01-29,66
2023-02-05,50
2023-02-12,51
2023-02-19,50
2023-02-26,51
2023-03-05,61
2023-03-12,90
2023-03-19,86
2023-03-26,75
2023-04-02,70
2023-04-09,77
2023-04-16,69
2023-04-23,69
2023-04-30,62
2023-05-07,63
2023-05-14,52
2023-05-21,53
2023-05-28,54
2023-06-04,59
2023-06-11,57
2023-06-18,68
2023-06-25,63
2023-07-02,61
2023-07-09,64
2023-07-16,58
2023-07-23,55
2023-07-30,55
2023-08-06,53
2023-08-13,63
2023-08-20,57
2023-08-27,60
2023-09-03,52
2023-09-10,49
2023-09-17,50
2023-09-24,46
2023-10-01,52
2023-10-08,48
2023-10-15,58
2023-10-22,88
2023-10-29,67
2023-11-05,71
2023-11-12,69
2023-11-19,65
2023-11-26,63
2023-12-03,100
2023-12-10,82
2023-12-17,79
2023-12-24,74
2023-12-31,91
2024-01-07,100
2024-01-14,61
2024-01-21,55
2024-01-28,46
2024-02-04,51
2024-02-11,74
